service_id,date,exception_type
20362208,20121201,1
20362208,20121208,1
20362208,20130216,1
20362208,20131005,1
20362208,20150404,1
20362208,20150425,1
20362208,20150613,1
20362208,20151226,1
20362208,20160402,1
20362208,20170603,1
20362208,20170610,1
20362208,20181201,1
20362208,20181208,1
20361833,20121201,1
20361833,20121208,1
20361833,20130216,1
20361833,20131005,1
20361833,20150404,1
20361833,20150425,1
20361833,20150613,1
20361833,20151226,1
20361833,20160402,1
20361833,20170603,1
20361833,20170610,1
20361833,20181201,1
20361833,20181208,1
20367205,20111225,1
20367205,20120101,1
20367205,20120408,1
20367205,20120603,1
20367205,20120610,1
20367205,20131201,1
20367205,20131208,1
20367205,20151101,1
20367205,20151227,1
20367205,20160103,1
20367205,20160327,1
20367205,20160501,1
20367205,20161225,1
20367205,20170101,1
20367205,20170402,1
20367205,20180603,1
20367205,20180610,1
20367205,20120402,1
20367205,20130603,1
20367205,20130610,1
20367205,20141208,1
20367205,20150216,1
20367205,20151005,1
20367205,20160404,1
20367205,20160425,1
20367205,20160613,1
20367205,20160815,1
20367205,20170501,1
20367205,20171225,1
20367205,20180101,1
20367205,20180402,1
20367205,20111101,1
20367205,20120501,1
20367205,20121225,1
20367205,20130101,1
20367205,20130402,1
20367205,20140610,1
20367205,20151201,1
20367205,20151208,1
20367205,20160216,1
20367205,20161101,1
20367205,20170228,1
20367205,20170404,1
20367205,20170425,1
20367205,20170613,1
20367205,20180501,1
20367205,20181225,1
20367205,20111005,1
20367205,20120404,1
20367205,20120425,1
20367205,20120613,1
20367205,20120815,1
20367205,20130501,1
20367205,20131225,1
20367205,20140101,1
20367205,20150603,1
20367205,20150610,1
20367205,20161005,1
20367205,20171101,1
20367205,20180228,1
20367205,20180404,1
20367205,20180425,1
20367205,20180613,1
20367205,20111201,1
20367205,20111208,1
20367205,20120216,1
20367205,20120607,1
20367205,20121101,1
20367205,20130404,1
20367205,20130425,1
20367205,20130613,1
20367205,20130815,1
20367205,20140501,1
20367205,20141225,1
20367205,20150101,1
20367205,20150402,1
20367205,20161201,1
20367205,20161208,1
20367205,20170216,1
20367205,20170615,1
20367205,20171005,1
20367205,20181101,1
20367205,20120406,1
20367205,20121005,1
20367205,20130329,1
20367205,20131101,1
20367205,20140418,1
20367205,20140425,1
20367205,20140613,1
20367205,20140815,1
20367205,20150403,1
20367205,20150501,1
20367205,20151225,1
20367205,20160101,1
20367205,20160325,1
20367205,20160603,1
20367205,20160610,1
20367205,20171201,1
20367205,20171208,1
20367205,20180216,1
20367205,20180615,1
20367205,20181005,1
20361839,20121201,1
20361839,20121208,1
20361839,20130216,1
20361839,20131005,1
20361839,20150404,1
20361839,20150425,1
20361839,20150613,1
20361839,20151226,1
20361839,20160402,1
20361839,20170603,1
20361839,20170610,1
20361839,20181201,1
20361839,20181208,1
20367207,20111225,1
20367207,20120101,1
20367207,20120408,1
20367207,20120603,1
20367207,20120610,1
20367207,20131201,1
20367207,20131208,1
20367207,20151101,1
20367207,20151227,1
20367207,20160103,1
20367207,20160327,1
20367207,20160501,1
20367207,20161225,1
20367207,20170101,1
20367207,20170402,1
20367207,20180603,1
20367207,20180610,1
20367207,20120402,1
20367207,20130603,1
20367207,20130610,1
20367207,20141208,1
20367207,20150216,1
20367207,20151005,1
20367207,20160404,1
20367207,20160425,1
20367207,20160613,1
20367207,20160815,1
20367207,20170501,1
20367207,20171225,1
20367207,20180101,1
20367207,20180402,1
20367207,20111101,1
20367207,20120501,1
20367207,20121225,1
20367207,20130101,1
20367207,20130402,1
20367207,20140610,1
20367207,20151201,1
20367207,20151208,1
20367207,20160216,1
20367207,20161101,1
20367207,20170228,1
20367207,20170404,1
20367207,20170425,1
20367207,20170613,1
20367207,20180501,1
20367207,20181225,1
20367207,20111005,1
20367207,20120404,1
20367207,20120425,1
20367207,20120613,1
20367207,20120815,1
20367207,20130501,1
20367207,20131225,1
20367207,20140101,1
20367207,20150603,1
20367207,20150610,1
20367207,20161005,1
20367207,20171101,1
20367207,20180228,1
20367207,20180404,1
20367207,20180425,1
20367207,20180613,1
20367207,20111201,1
20367207,20111208,1
20367207,20120216,1
20367207,20120607,1
20367207,20121101,1
20367207,20130404,1
20367207,20130425,1
20367207,20130613,1
20367207,20130815,1
20367207,20140501,1
20367207,20141225,1
20367207,20150101,1
20367207,20150402,1
20367207,20161201,1
20367207,20161208,1
20367207,20170216,1
20367207,20170615,1
20367207,20171005,1
20367207,20181101,1
20367207,20120406,1
20367207,20121005,1
20367207,20130329,1
20367207,20131101,1
20367207,20140418,1
20367207,20140425,1
20367207,20140613,1
20367207,20140815,1
20367207,20150403,1
20367207,20150501,1
20367207,20151225,1
20367207,20160101,1
20367207,20160325,1
20367207,20160603,1
20367207,20160610,1
20367207,20171201,1
20367207,20171208,1
20367207,20180216,1
20367207,20180615,1
20367207,20181005,1
20361848,20121201,1
20361848,20121208,1
20361848,20130216,1
20361848,20131005,1
20361848,20150404,1
20361848,20150425,1
20361848,20150613,1
20361848,20151226,1
20361848,20160402,1
20361848,20170603,1
20361848,20170610,1
20361848,20181201,1
20361848,20181208,1
20367210,20111225,1
20367210,20120101,1
20367210,20120408,1
20367210,20120603,1
20367210,20120610,1
20367210,20131201,1
20367210,20131208,1
20367210,20151101,1
20367210,20151227,1
20367210,20160103,1
20367210,20160327,1
20367210,20160501,1
20367210,20161225,1
20367210,20170101,1
20367210,20170402,1
20367210,20180603,1
20367210,20180610,1
20367210,20120402,1
20367210,20130603,1
20367210,20130610,1
20367210,20141208,1
20367210,20150216,1
20367210,20151005,1
20367210,20160404,1
20367210,20160425,1
20367210,20160613,1
20367210,20160815,1
20367210,20170501,1
20367210,20171225,1
20367210,20180101,1
20367210,20180402,1
20367210,20111101,1
20367210,20120501,1
20367210,20121225,1
20367210,20130101,1
20367210,20130402,1
20367210,20140610,1
20367210,20151201,1
20367210,20151208,1
20367210,20160216,1
20367210,20161101,1
20367210,20170228,1
20367210,20170404,1
20367210,20170425,1
20367210,20170613,1
20367210,20180501,1
20367210,20181225,1
20367210,20111005,1
20367210,20120404,1
20367210,20120425,1
20367210,20120613,1
20367210,20120815,1
20367210,20130501,1
20367210,20131225,1
20367210,20140101,1
20367210,20150603,1
20367210,20150610,1
20367210,20161005,1
20367210,20171101,1
20367210,20180228,1
20367210,20180404,1
20367210,20180425,1
20367210,20180613,1
20367210,20111201,1
20367210,20111208,1
20367210,20120216,1
20367210,20120607,1
20367210,20121101,1
20367210,20130404,1
20367210,20130425,1
20367210,20130613,1
20367210,20130815,1
20367210,20140501,1
20367210,20141225,1
20367210,20150101,1
20367210,20150402,1
20367210,20161201,1
20367210,20161208,1
20367210,20170216,1
20367210,20170615,1
20367210,20171005,1
20367210,20181101,1
20367210,20120406,1
20367210,20121005,1
20367210,20130329,1
20367210,20131101,1
20367210,20140418,1
20367210,20140425,1
20367210,20140613,1
20367210,20140815,1
20367210,20150403,1
20367210,20150501,1
20367210,20151225,1
20367210,20160101,1
20367210,20160325,1
20367210,20160603,1
20367210,20160610,1
20367210,20171201,1
20367210,20171208,1
20367210,20180216,1
20367210,20180615,1
20367210,20181005,1
20362055,20121201,1
20362055,20121208,1
20362055,20130216,1
20362055,20131005,1
20362055,20150404,1
20362055,20150425,1
20362055,20150613,1
20362055,20151226,1
20362055,20160402,1
20362055,20170603,1
20362055,20170610,1
20362055,20181201,1
20362055,20181208,1
20361857,20121201,1
20361857,20121208,1
20361857,20130216,1
20361857,20131005,1
20361857,20150404,1
20361857,20150425,1
20361857,20150613,1
20361857,20151226,1
20361857,20160402,1
20361857,20170603,1
20361857,20170610,1
20361857,20181201,1
20361857,20181208,1
20367213,20111225,1
20367213,20120101,1
20367213,20120408,1
20367213,20120603,1
20367213,20120610,1
20367213,20131201,1
20367213,20131208,1
20367213,20151101,1
20367213,20151227,1
20367213,20160103,1
20367213,20160327,1
20367213,20160501,1
20367213,20161225,1
20367213,20170101,1
20367213,20170402,1
20367213,20180603,1
20367213,20180610,1
20367213,20120402,1
20367213,20130603,1
20367213,20130610,1
20367213,20141208,1
20367213,20150216,1
20367213,20151005,1
20367213,20160404,1
20367213,20160425,1
20367213,20160613,1
20367213,20160815,1
20367213,20170501,1
20367213,20171225,1
20367213,20180101,1
20367213,20180402,1
20367213,20111101,1
20367213,20120501,1
20367213,20121225,1
20367213,20130101,1
20367213,20130402,1
20367213,20140610,1
20367213,20151201,1
20367213,20151208,1
20367213,20160216,1
20367213,20161101,1
20367213,20170228,1
20367213,20170404,1
20367213,20170425,1
20367213,20170613,1
20367213,20180501,1
20367213,20181225,1
20367213,20111005,1
20367213,20120404,1
20367213,20120425,1
20367213,20120613,1
20367213,20120815,1
20367213,20130501,1
20367213,20131225,1
20367213,20140101,1
20367213,20150603,1
20367213,20150610,1
20367213,20161005,1
20367213,20171101,1
20367213,20180228,1
20367213,20180404,1
20367213,20180425,1
20367213,20180613,1
20367213,20111201,1
20367213,20111208,1
20367213,20120216,1
20367213,20120607,1
20367213,20121101,1
20367213,20130404,1
20367213,20130425,1
20367213,20130613,1
20367213,20130815,1
20367213,20140501,1
20367213,20141225,1
20367213,20150101,1
20367213,20150402,1
20367213,20161201,1
20367213,20161208,1
20367213,20170216,1
20367213,20170615,1
20367213,20171005,1
20367213,20181101,1
20367213,20120406,1
20367213,20121005,1
20367213,20130329,1
20367213,20131101,1
20367213,20140418,1
20367213,20140425,1
20367213,20140613,1
20367213,20140815,1
20367213,20150403,1
20367213,20150501,1
20367213,20151225,1
20367213,20160101,1
20367213,20160325,1
20367213,20160603,1
20367213,20160610,1
20367213,20171201,1
20367213,20171208,1
20367213,20180216,1
20367213,20180615,1
20367213,20181005,1
20362136,20121201,1
20362136,20121208,1
20362136,20130216,1
20362136,20131005,1
20362136,20150404,1
20362136,20150425,1
20362136,20150613,1
20362136,20151226,1
20362136,20160402,1
20362136,20170603,1
20362136,20170610,1
20362136,20181201,1
20362136,20181208,1
20361863,20121201,1
20361863,20121208,1
20361863,20130216,1
20361863,20131005,1
20361863,20150404,1
20361863,20150425,1
20361863,20150613,1
20361863,20151226,1
20361863,20160402,1
20361863,20170603,1
20361863,20170610,1
20361863,20181201,1
20361863,20181208,1
20361872,20121201,1
20361872,20121208,1
20361872,20130216,1
20361872,20131005,1
20361872,20150404,1
20361872,20150425,1
20361872,20150613,1
20361872,20151226,1
20361872,20160402,1
20361872,20170603,1
20361872,20170610,1
20361872,20181201,1
20361872,20181208,1
20367215,20111225,1
20367215,20120101,1
20367215,20120408,1
20367215,20120603,1
20367215,20120610,1
20367215,20131201,1
20367215,20131208,1
20367215,20151101,1
20367215,20151227,1
20367215,20160103,1
20367215,20160327,1
20367215,20160501,1
20367215,20161225,1
20367215,20170101,1
20367215,20170402,1
20367215,20180603,1
20367215,20180610,1
20367215,20120402,1
20367215,20130603,1
20367215,20130610,1
20367215,20141208,1
20367215,20150216,1
20367215,20151005,1
20367215,20160404,1
20367215,20160425,1
20367215,20160613,1
20367215,20160815,1
20367215,20170501,1
20367215,20171225,1
20367215,20180101,1
20367215,20180402,1
20367215,20111101,1
20367215,20120501,1
20367215,20121225,1
20367215,20130101,1
20367215,20130402,1
20367215,20140610,1
20367215,20151201,1
20367215,20151208,1
20367215,20160216,1
20367215,20161101,1
20367215,20170228,1
20367215,20170404,1
20367215,20170425,1
20367215,20170613,1
20367215,20180501,1
20367215,20181225,1
20367215,20111005,1
20367215,20120404,1
20367215,20120425,1
20367215,20120613,1
20367215,20120815,1
20367215,20130501,1
20367215,20131225,1
20367215,20140101,1
20367215,20150603,1
20367215,20150610,1
20367215,20161005,1
20367215,20171101,1
20367215,20180228,1
20367215,20180404,1
20367215,20180425,1
20367215,20180613,1
20367215,20111201,1
20367215,20111208,1
20367215,20120216,1
20367215,20120607,1
20367215,20121101,1
20367215,20130404,1
20367215,20130425,1
20367215,20130613,1
20367215,20130815,1
20367215,20140501,1
20367215,20141225,1
20367215,20150101,1
20367215,20150402,1
20367215,20161201,1
20367215,20161208,1
20367215,20170216,1
20367215,20170615,1
20367215,20171005,1
20367215,20181101,1
20367215,20120406,1
20367215,20121005,1
20367215,20130329,1
20367215,20131101,1
20367215,20140418,1
20367215,20140425,1
20367215,20140613,1
20367215,20140815,1
20367215,20150403,1
20367215,20150501,1
20367215,20151225,1
20367215,20160101,1
20367215,20160325,1
20367215,20160603,1
20367215,20160610,1
20367215,20171201,1
20367215,20171208,1
20367215,20180216,1
20367215,20180615,1
20367215,20181005,1
20367218,20111225,1
20367218,20120101,1
20367218,20120408,1
20367218,20120603,1
20367218,20120610,1
20367218,20131201,1
20367218,20131208,1
20367218,20151101,1
20367218,20151227,1
20367218,20160103,1
20367218,20160327,1
20367218,20160501,1
20367218,20161225,1
20367218,20170101,1
20367218,20170402,1
20367218,20180603,1
20367218,20180610,1
20367218,20120402,1
20367218,20130603,1
20367218,20130610,1
20367218,20141208,1
20367218,20150216,1
20367218,20151005,1
20367218,20160404,1
20367218,20160425,1
20367218,20160613,1
20367218,20160815,1
20367218,20170501,1
20367218,20171225,1
20367218,20180101,1
20367218,20180402,1
20367218,20111101,1
20367218,20120501,1
20367218,20121225,1
20367218,20130101,1
20367218,20130402,1
20367218,20140610,1
20367218,20151201,1
20367218,20151208,1
20367218,20160216,1
20367218,20161101,1
20367218,20170228,1
20367218,20170404,1
20367218,20170425,1
20367218,20170613,1
20367218,20180501,1
20367218,20181225,1
20367218,20111005,1
20367218,20120404,1
20367218,20120425,1
20367218,20120613,1
20367218,20120815,1
20367218,20130501,1
20367218,20131225,1
20367218,20140101,1
20367218,20150603,1
20367218,20150610,1
20367218,20161005,1
20367218,20171101,1
20367218,20180228,1
20367218,20180404,1
20367218,20180425,1
20367218,20180613,1
20367218,20111201,1
20367218,20111208,1
20367218,20120216,1
20367218,20120607,1
20367218,20121101,1
20367218,20130404,1
20367218,20130425,1
20367218,20130613,1
20367218,20130815,1
20367218,20140501,1
20367218,20141225,1
20367218,20150101,1
20367218,20150402,1
20367218,20161201,1
20367218,20161208,1
20367218,20170216,1
20367218,20170615,1
20367218,20171005,1
20367218,20181101,1
20367218,20120406,1
20367218,20121005,1
20367218,20130329,1
20367218,20131101,1
20367218,20140418,1
20367218,20140425,1
20367218,20140613,1
20367218,20140815,1
20367218,20150403,1
20367218,20150501,1
20367218,20151225,1
20367218,20160101,1
20367218,20160325,1
20367218,20160603,1
20367218,20160610,1
20367218,20171201,1
20367218,20171208,1
20367218,20180216,1
20367218,20180615,1
20367218,20181005,1
20361881,20121201,1
20361881,20121208,1
20361881,20130216,1
20361881,20131005,1
20361881,20150404,1
20361881,20150425,1
20361881,20150613,1
20361881,20151226,1
20361881,20160402,1
20361881,20170603,1
20361881,20170610,1
20361881,20181201,1
20361881,20181208,1
20367221,20111225,1
20367221,20120101,1
20367221,20120408,1
20367221,20120603,1
20367221,20120610,1
20367221,20131201,1
20367221,20131208,1
20367221,20151101,1
20367221,20151227,1
20367221,20160103,1
20367221,20160327,1
20367221,20160501,1
20367221,20161225,1
20367221,20170101,1
20367221,20170402,1
20367221,20180603,1
20367221,20180610,1
20367221,20120402,1
20367221,20130603,1
20367221,20130610,1
20367221,20141208,1
20367221,20150216,1
20367221,20151005,1
20367221,20160404,1
20367221,20160425,1
20367221,20160613,1
20367221,20160815,1
20367221,20170501,1
20367221,20171225,1
20367221,20180101,1
20367221,20180402,1
20367221,20111101,1
20367221,20120501,1
20367221,20121225,1
20367221,20130101,1
20367221,20130402,1
20367221,20140610,1
20367221,20151201,1
20367221,20151208,1
20367221,20160216,1
20367221,20161101,1
20367221,20170228,1
20367221,20170404,1
20367221,20170425,1
20367221,20170613,1
20367221,20180501,1
20367221,20181225,1
20367221,20111005,1
20367221,20120404,1
20367221,20120425,1
20367221,20120613,1
20367221,20120815,1
20367221,20130501,1
20367221,20131225,1
20367221,20140101,1
20367221,20150603,1
20367221,20150610,1
20367221,20161005,1
20367221,20171101,1
20367221,20180228,1
20367221,20180404,1
20367221,20180425,1
20367221,20180613,1
20367221,20111201,1
20367221,20111208,1
20367221,20120216,1
20367221,20120607,1
20367221,20121101,1
20367221,20130404,1
20367221,20130425,1
20367221,20130613,1
20367221,20130815,1
20367221,20140501,1
20367221,20141225,1
20367221,20150101,1
20367221,20150402,1
20367221,20161201,1
20367221,20161208,1
20367221,20170216,1
20367221,20170615,1
20367221,20171005,1
20367221,20181101,1
20367221,20120406,1
20367221,20121005,1
20367221,20130329,1
20367221,20131101,1
20367221,20140418,1
20367221,20140425,1
20367221,20140613,1
20367221,20140815,1
20367221,20150403,1
20367221,20150501,1
20367221,20151225,1
20367221,20160101,1
20367221,20160325,1
20367221,20160603,1
20367221,20160610,1
20367221,20171201,1
20367221,20171208,1
20367221,20180216,1
20367221,20180615,1
20367221,20181005,1
20361890,20121201,1
20361890,20121208,1
20361890,20130216,1
20361890,20131005,1
20361890,20150404,1
20361890,20150425,1
20361890,20150613,1
20361890,20151226,1
20361890,20160402,1
20361890,20170603,1
20361890,20170610,1
20361890,20181201,1
20361890,20181208,1
20361899,20121201,1
20361899,20121208,1
20361899,20130216,1
20361899,20131005,1
20361899,20150404,1
20361899,20150425,1
20361899,20150613,1
20361899,20151226,1
20361899,20160402,1
20361899,20170603,1
20361899,20170610,1
20361899,20181201,1
20361899,20181208,1
20367224,20111225,1
20367224,20120101,1
20367224,20120408,1
20367224,20120603,1
20367224,20120610,1
20367224,20131201,1
20367224,20131208,1
20367224,20151101,1
20367224,20151227,1
20367224,20160103,1
20367224,20160327,1
20367224,20160501,1
20367224,20161225,1
20367224,20170101,1
20367224,20170402,1
20367224,20180603,1
20367224,20180610,1
20367224,20120402,1
20367224,20130603,1
20367224,20130610,1
20367224,20141208,1
20367224,20150216,1
20367224,20151005,1
20367224,20160404,1
20367224,20160425,1
20367224,20160613,1
20367224,20160815,1
20367224,20170501,1
20367224,20171225,1
20367224,20180101,1
20367224,20180402,1
20367224,20111101,1
20367224,20120501,1
